state,region,year,total_damages_cr,crops_damage_cr,houses_damage_cr,public_util_damage_cr
Haryana,Indo_Gangetic_Plain,1995,11.69,10.47,0.54,0.68
Haryana,Indo_Gangetic_Plain,1996,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1997,6.15,6.0,0.15,0.0
Haryana,Indo_Gangetic_Plain,1998,398.88,398.49,0.31,0.08
Haryana,Indo_Gangetic_Plain,1999,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2000,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2001,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2002,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2003,0.49,0.41,0.06,0.02
Haryana,Indo_Gangetic_Plain,2004,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2005,,,,
Haryana,Indo_Gangetic_Plain,2006,0.52,0.08,0.44,0.0
Haryana,Indo_Gangetic_Plain,2007,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2008,1.43,0.33,0.44,0.66
Haryana,Indo_Gangetic_Plain,2009,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2010,124.53,54.02,7.96,62.55
Haryana,Indo_Gangetic_Plain,2011,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2012,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,2013,104.4,104.09,0.24,0.07
Haryana,Indo_Gangetic_Plain,2014,29.79,29.77,0.01,0.0
Haryana,Indo_Gangetic_Plain,2015,437.23,437.2,0.03,0.0
Haryana,Indo_Gangetic_Plain,2016,522.45,518.24,4.21,0.0
Haryana,Indo_Gangetic_Plain,2017,18.01,17.96,0.05,0.0
Haryana,Indo_Gangetic_Plain,2018,89.03,88.45,0.58,0.0
Haryana,Indo_Gangetic_Plain,2019,0.6,0.6,0.0,0.0
Haryana,Indo_Gangetic_Plain,2020,,,,
Haryana,Indo_Gangetic_Plain,2021,614.63,614.63,,
Haryana,Indo_Gangetic_Plain,2022,,,,
Haryana,Indo_Gangetic_Plain,2023,5.15,,5.15,
Jharkhand,Central_India,1953,,,,
Jharkhand,Central_India,1954,,,,
Jharkhand,Central_India,1955,,,,
Jharkhand,Central_India,1956,,,,
Jharkhand,Central_India,1957,,,,
Jharkhand,Central_India,1958,,,,
Jharkhand,Central_India,1959,,,,
Jharkhand,Central_India,1960,,,,
Jharkhand,Central_India,1961,,,,
Jharkhand,Central_India,1962,,,,
Jharkhand,Central_India,1963,,,,
Jharkhand,Central_India,1964,,,,
Jharkhand,Central_India,1965,,,,
Jharkhand,Central_India,1966,,,,
Jharkhand,Central_India,1967,,,,
Jharkhand,Central_India,1968,,,,
Jharkhand,Central_India,1969,,,,
Jharkhand,Central_India,1970,,,,
Jharkhand,Central_India,1971,,,,
Jharkhand,Central_India,1972,,,,
Jharkhand,Central_India,1973,,,,
Jharkhand,Central_India,1974,,,,
Jharkhand,Central_India,1975,,,,
Jharkhand,Central_India,1976,,,,
Jharkhand,Central_India,1977,,,,
Jharkhand,Central_India,1978,,,,
Jharkhand,Central_India,1979,,,,
Jharkhand,Central_India,1980,,,,
Jharkhand,Central_India,1981,,,,
